"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16024","[E2E-PURCHASE-001] Comprar produto autenticado até o checkout","chromium-e2e","2026-09-17","passed","2026-09-17","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","942","[API-WC-STORE-CART-001] Consultar um carrinho novo","chromium-api","2026-09-17","passed","2026-09-17","Store API","api/store-api.spec.ts","",""
"","5747","[API-WC-CART-SOLD-INDIVIDUALLY-001] Rejeitar atualização para quantidade > 1 em produto sold_individually","chromium-api","2026-09-17","passed","2026-09-17","","api/cart-mutation.spec.ts","",""
"","1282","[API-WC-STORE-PRODUCTS-001] Consultar produtos disponíveis","chromium-api","2026-09-17","passed","2026-09-17","Store API","api/store-api.spec.ts","",""
"","1215","[API-WC-STORE-PRODUCTS-001] Consultar produtos disponíveis","chromium-api","2026-09-17","passed","2026-09-17","Store API","api/store-api.spec.ts","",""
"","1583","[API-WC-STORE-PRODUCTS-CONTRACT-001] Resposta real respeita o schema declarado pela própria API","chromium-api","2026-09-17","passed","2026-09-17","","api/contract.spec.ts","",""
"","1283","[API-WC-STORE-PRODUCTS-001] Consultar produtos disponíveis","chromium-api","2026-09-17","passed","2026-09-17","Store API","api/store-api.spec.ts","",""
"","615","[API-WC-STORE-CART-001] Consultar um carrinho novo","chromium-api","2026-09-17","passed","2026-09-17","Store API","api/store-api.spec.ts","",""
"","15759","[E2E-PURCHASE-001] Comprar produto autenticado até o checkout","chromium-e2e","2026-09-17","passed","2026-09-17","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","9263","[E2E-PURCHASE-002] Validar produto sem controle de compra","chromium-e2e","2026-09-17","passed","2026-09-17","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","5593","[API-WC-CART-UPDATE-ITEM-001] Atualizar quantidade de uma variação no carrinho","chromium-api","2026-09-17","passed","2026-09-17","","api/cart-mutation.spec.ts","",""
"","11944","[E2E-DISCOUNT-002] Validar preço promocional cobrado no carrinho","chromium-e2e","2026-09-17","passed","2026-09-17","","e2e/discount-flow.spec.ts","",""
"","17281","[E2E-PURCHASE-001] Comprar produto autenticado até o checkout","chromium-e2e","2026-09-17","passed","2026-09-17","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","17437","[E2E-PURCHASE-001] Comprar produto autenticado até o checkout","chromium-e2e","2026-09-17","passed","2026-09-17","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","7054","[E2E-DISCOUNT-001] Validar desconto aplicado no card do produto","chromium-e2e","2026-09-17","passed","2026-09-17","","e2e/discount-flow.spec.ts","",""
"","14948","[E2E-CART-QUANTITY-001] Alterar quantidade do item no carrinho pela UI","chromium-e2e","2026-09-17","passed","2026-09-17","","e2e/cart-quantity.spec.ts","",""
"","1335","[API-WC-STORE-PRODUCTS-CONTRACT-001] Resposta real respeita o schema declarado pela própria API","chromium-api","2026-09-17","passed","2026-09-17","","api/contract.spec.ts","",""
"","8331","[E2E-PURCHASE-002] Validar produto sem controle de compra","chromium-e2e","2026-09-17","passed","2026-09-17","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","1641","[API-WC-STORE-PRODUCTS-CONTRACT-001] Resposta real respeita o schema declarado pela própria API","chromium-api","2026-09-17","passed","2026-09-17","","api/contract.spec.ts","",""
"","1160","[API-WC-STORE-CART-001] Consultar um carrinho novo","chromium-api","2026-09-17","passed","2026-09-17","Store API","api/store-api.spec.ts","",""
"","1048","[ENV-HEALTH-CHECK-001] Confirmar que o ambiente está acessível","health-check","2026-09-17","passed","2026-09-17","","support/healthCheck.setup.ts","",""
"","7103","[E2E-DISCOUNT-001] Validar desconto aplicado no card do produto","chromium-e2e","2026-09-17","passed","2026-09-17","","e2e/discount-flow.spec.ts","",""
"","20075","[E2E-CART-QUANTITY-001] Alterar quantidade do item no carrinho pela UI","chromium-e2e","2026-09-17","passed","2026-09-17","","e2e/cart-quantity.spec.ts","",""
"","5752","[API-WC-CART-SOLD-INDIVIDUALLY-001] Rejeitar atualização para quantidade > 1 em produto sold_individually","chromium-api","2026-09-17","passed","2026-09-17","","api/cart-mutation.spec.ts","",""
"","8759","[E2E-PURCHASE-002] Validar produto sem controle de compra","chromium-e2e","2026-09-17","passed","2026-09-17","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","860","[API-WC-STORE-PRODUCTS-001] Consultar produtos disponíveis","chromium-api","2026-09-17","passed","2026-09-17","Store API","api/store-api.spec.ts","",""
"","9275","[E2E-PURCHASE-002] Validar produto sem controle de compra","chromium-e2e","2026-09-17","passed","2026-09-17","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","7195","[E2E-DISCOUNT-001] Validar desconto aplicado no card do produto","chromium-e2e","2026-09-17","passed","2026-09-17","","e2e/discount-flow.spec.ts","",""
"","646","[API-WC-STORE-CART-001] Consultar um carrinho novo","chromium-api","2026-09-17","passed","2026-09-17","Store API","api/store-api.spec.ts","",""
"","8063","[E2E-DISCOUNT-001] Validar desconto aplicado no card do produto","chromium-e2e","2026-09-17","passed","2026-09-17","","e2e/discount-flow.spec.ts","",""
"","10980","[E2E-DISCOUNT-002] Validar preço promocional cobrado no carrinho","chromium-e2e","2026-09-17","passed","2026-09-17","","e2e/discount-flow.spec.ts","",""
"","5875","[API-WC-CART-SOLD-INDIVIDUALLY-001] Rejeitar atualização para quantidade > 1 em produto sold_individually","chromium-api","2026-09-17","passed","2026-09-17","","api/cart-mutation.spec.ts","",""
"","5483","[API-WC-CART-UPDATE-ITEM-001] Atualizar quantidade de uma variação no carrinho","chromium-api","2026-09-17","passed","2026-09-17","","api/cart-mutation.spec.ts","",""
"","16185","[E2E-PURCHASE-001] Comprar produto autenticado até o checkout","chromium-e2e","2026-09-17","passed","2026-09-17","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","8648","[E2E-PURCHASE-002] Validar produto sem controle de compra","chromium-e2e","2026-09-17","passed","2026-09-17","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","6498","[API-WC-CART-UPDATE-ITEM-001] Atualizar quantidade de uma variação no carrinho","chromium-api","2026-09-17","passed","2026-09-17","","api/cart-mutation.spec.ts","",""
"","655","[API-WC-STORE-CART-001] Consultar um carrinho novo","chromium-api","2026-09-17","passed","2026-09-17","Store API","api/store-api.spec.ts","",""
"","12307","[E2E-DISCOUNT-002] Validar preço promocional cobrado no carrinho","chromium-e2e","2026-09-17","passed","2026-09-17","","e2e/discount-flow.spec.ts","",""
"","8282","[E2E-DISCOUNT-001] Validar desconto aplicado no card do produto","chromium-e2e","2026-09-17","passed","2026-09-17","","e2e/discount-flow.spec.ts","",""
"","4681","[API-WC-CART-SOLD-INDIVIDUALLY-001] Rejeitar atualização para quantidade > 1 em produto sold_individually","chromium-api","2026-09-17","passed","2026-09-17","","api/cart-mutation.spec.ts","",""
"","2429","[API-WC-STORE-PRODUCTS-CONTRACT-001] Resposta real respeita o schema declarado pela própria API","chromium-api","2026-09-17","passed","2026-09-17","","api/contract.spec.ts","",""
"","20792","[E2E-CART-QUANTITY-001] Alterar quantidade do item no carrinho pela UI","chromium-e2e","2026-09-17","passed","2026-09-17","","e2e/cart-quantity.spec.ts","",""
"","15696","[E2E-CART-QUANTITY-001] Alterar quantidade do item no carrinho pela UI","chromium-e2e","2026-09-17","passed","2026-09-17","","e2e/cart-quantity.spec.ts","",""
"","11069","[E2E-DISCOUNT-002] Validar preço promocional cobrado no carrinho","chromium-e2e","2026-09-17","passed","2026-09-17","","e2e/discount-flow.spec.ts","",""
"","1046","[API-WC-STORE-PRODUCTS-001] Consultar produtos disponíveis","chromium-api","2026-09-17","passed","2026-09-17","Store API","api/store-api.spec.ts","",""
"","1474","[API-WC-STORE-PRODUCTS-CONTRACT-001] Resposta real respeita o schema declarado pela própria API","chromium-api","2026-09-17","passed","2026-09-17","","api/contract.spec.ts","",""
"","5421","[API-WC-CART-UPDATE-ITEM-001] Atualizar quantidade de uma variação no carrinho","chromium-api","2026-09-17","passed","2026-09-17","","api/cart-mutation.spec.ts","",""
